run_label,scenario,seed,wall_clock_ms,network_usage,cloud_execution_cost,loop_latencies,energy_cloud,energy_proxy,energy_fog1,energy_fog2,energy_fog3
CLOUD_ONLY_seed1,CLOUD_ONLY,1,959,19356.000000,169.488000,fastpath_filter->fog_processing->ECU_ACTION=60.0401,6660119.549572,417166.500000,417166.500000,417166.500000,417166.500000
CLOUD_ONLY_seed2,CLOUD_ONLY,2,944,19356.000000,170.048000,fastpath_filter->fog_processing->ECU_ACTION=60.0401,6660119.944572,417166.500000,417166.500000,417166.500000,417166.500000
CLOUD_ONLY_seed3,CLOUD_ONLY,3,931,19356.000000,170.768000,fastpath_filter->fog_processing->ECU_ACTION=60.0401,6660120.452429,417166.500000,417166.500000,417166.500000,417166.500000
CLOUD_ONLY_seed4,CLOUD_ONLY,4,909,19356.000000,170.128000,fastpath_filter->fog_processing->ECU_ACTION=60.0401,6660120.001000,417166.500000,417166.500000,417166.500000,417166.500000
CLOUD_ONLY_seed5,CLOUD_ONLY,5,992,19356.000000,169.408000,fastpath_filter->fog_processing->ECU_ACTION=60.0401,6660119.493143,417166.500000,417166.500000,417166.500000,417166.500000
FOG_NO_IDS_seed1,FOG_NO_IDS,1,705,3097.200000,23.339000,fastpath_filter->fog_processing->ECU_ACTION=2.0300,6660016.462330,417166.500000,418334.711795,419078.238829,418382.523195
FOG_NO_IDS_seed2,FOG_NO_IDS,2,765,3155.200000,23.658100,fastpath_filter->fog_processing->ECU_ACTION=2.0300,6660016.687410,417166.500000,418286.900395,418839.181829,418286.900395
FOG_NO_IDS_seed3,FOG_NO_IDS,3,695,3190.000000,23.738100,fastpath_filter->fog_processing->ECU_ACTION=2.0300,6660016.743838,417166.500000,418430.334595,419126.050229,418191.277595
FOG_NO_IDS_seed4,FOG_NO_IDS,4,700,3190.000000,23.698100,fastpath_filter->fog_processing->ECU_ACTION=2.0300,6660016.715624,417166.500000,418525.957395,419030.427429,418191.277595
FOG_NO_IDS_seed5,FOG_NO_IDS,5,698,3004.400000,23.058100,fastpath_filter->fog_processing->ECU_ACTION=2.0300,6660016.264196,417166.500000,418334.711795,418839.181829,418191.277595
FOG_WITH_IDS_seed1,FOG_WITH_IDS,1,1059,4724.680000,49.876040,fastpath_filter->fog_processing->ECU_ACTION=2.0500 | fastpath_filter->ids_inference=0.0100,6660035.180421,417166.500000,442940.514125,419581.453814,442940.514125
FOG_WITH_IDS_seed2,FOG_WITH_IDS,2,1090,4631.880000,49.596040,fastpath_filter->fog_processing->ECU_ACTION=2.0500 | fastpath_filter->ids_inference=0.0100,6660034.982921,417166.500000,442940.514125,419581.453814,442940.514125
FOG_WITH_IDS_seed3,FOG_WITH_IDS,3,1025,4446.280000,48.968900,fastpath_filter->fog_processing->ECU_ACTION=2.0500 | fastpath_filter->ids_inference=0.0100,6660034.540563,417166.500000,442940.514125,419581.453814,442940.514125
FOG_WITH_IDS_seed4,FOG_WITH_IDS,4,1021,4689.880000,49.728900,fastpath_filter->fog_processing->ECU_ACTION=2.0500 | fastpath_filter->ids_inference=0.0100,6660035.076635,417166.500000,442940.514125,419581.453814,442940.514125
FOG_WITH_IDS_seed5,FOG_WITH_IDS,5,1039,4585.480000,49.476040,fastpath_filter->fog_processing->ECU_ACTION=2.0500 | fastpath_filter->ids_inference=0.0100,6660034.898278,417166.500000,442940.514125,419581.453814,442940.514125
