run_label,scenario,seed,device,sim_time_ms,utilization_fraction
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,25.000,0.000402
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,25.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,25.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,25.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,25.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,50.000,0.000402
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,50.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,50.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,50.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,50.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,75.000,0.000402
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,75.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,75.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,75.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,75.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,100.000,0.000402
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,100.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,100.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,100.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,100.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,125.000,0.000402
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,125.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,125.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,125.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,125.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,150.000,0.000402
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,150.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,150.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,150.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,150.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,175.000,0.040161
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,175.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,175.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,175.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,175.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,200.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,200.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,200.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,200.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,200.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,225.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,225.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,225.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,225.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,225.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,250.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,250.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,250.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,250.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,250.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,275.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,275.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,275.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,275.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,275.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,300.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,300.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,300.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,300.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,300.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,325.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,325.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,325.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,325.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,325.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,350.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,350.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,350.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,350.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,350.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,375.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,375.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,375.000,0.000000
